Buchungsnummer	Kontonummer	Kontobezeichnung	Belegdatum	Belegnummer	Buchungstext	Kostentr‰ger	Kostenstelle	Steuerschl¸ssel	Gegenkonto	Sollbetrag EUR	Habenbetrag EUR	USt-Konto	USt-%	SPLIT1
2.236	01401	Abziehbare Vorsteuer 7 %	02.06.17	1212	Kreisverwaltungsreferat (KVR)	M-ZO 523 | 7	KVR		01600	1,31			0,00	
2.237	01401	Abziehbare Vorsteuer 7 %	02.06.17	1211	<Storno> Kreisverwaltungsreferat (KVR)	M-ZO 523 | 7	KVR		01600	-1,31			0,00	
2.229	01401	Abziehbare Vorsteuer 7 %	08.06.17	1206	Alramstr 9	M-ZO 523 | 7	KVR		01600	0,27			0,00	
2.240	01401	Abziehbare Vorsteuer 7 %	13.06.17	1215	Kreisverwaltungsreferat (KVR)	M-ZO 523 | 7	KVR		01600	1,31			0,00	
2.222	01401	Abziehbare Vorsteuer 7 %	16.06.17	1200	Kreisverwaltungsreferat München (KVR)	M-ZO 523 | 7	KVR		01600	1,31			0,00	
2.223	01401	Abziehbare Vorsteuer 7 %	16.06.17	1200	<Storno> Kreisverwaltungsreferat München (KVR)	M-ZO 523 | 7	KVR		01600	-1,31			0,00	
2.110	01401	Abziehbare Vorsteuer 7 %	03.07.17	1040	Oberl?nderstr. Nord, M?nchen	M-ZO 523	KVR		01600	0,38			0,00	
2.206	01401	Abziehbare Vorsteuer 7 %	10.07.17	1189	Kreisverwaltungsreferat München	M-ZO 523 | 7	KVR		01600	1,31			0,00	
2.207	01401	Abziehbare Vorsteuer 7 %	10.07.17	1189	<Storno> Kreisverwaltungsreferat München	M-ZO 523 | 7	KVR		01600	-1,31			0,00	
150	01401	Abziehbare Vorsteuer 7 %	24.07.17	139	PAYPAL *BOOKING.COM 35314369001 006	SAP Lehrgang			01710	5,30			0,00	
2.121	01401	Abziehbare Vorsteuer 7 %	25.07.17	1082	Hotel Bockshaut - Parken	SAP Lehrgang			01600	0,79			0,00	
2.122	01401	Abziehbare Vorsteuer 7 %	25.07.17	1082	<Storno> Hotel Bockshaut - Parken	SAP Lehrgang			01600	-0,79			0,00	
2.123	01401	Abziehbare Vorsteuer 7 %	25.07.17	1082	Hotel Bockshaut - Parken	M-ZO 523 | 7	SAP Lehrgang		01600	0,79			0,00	
2.124	01401	Abziehbare Vorsteuer 7 %	25.07.17	1082	<Storno> Hotel Bockshaut - Parken	M-ZO 523 | 7	SAP Lehrgang		01600	-0,79			0,00	
2.191	01401	Abziehbare Vorsteuer 7 %	28.07.17	1180	Justus Liebig Garage, Holzstrasse 4, 64283 Darmstadt				01600	0,35			0,00	
2.192	01401	Abziehbare Vorsteuer 7 %	28.07.17	1181	Justus Liebig Garage, Holzstrasse 4, 64283 Darmstadt	M-ZO 523 | 7			01600	0,35			0,00	
2.193	01401	Abziehbare Vorsteuer 7 %	28.07.17	1182	Justus Liebig Garage, Holzstrasse 4, 64283 Darmstadt	M-ZO 523 | 7	SAP Lehrgang		01600	0,68			0,00	
2.194	01401	Abziehbare Vorsteuer 7 %	28.07.17	1183	Justus Liebig Garage, Holzstrasse 4, 64283 Darmstadt	M-ZO 523 | 7	SAP Lehrgang		01600	0,35			0,00	
2.196	01401	Abziehbare Vorsteuer 7 %	28.07.17	1180	<Storno> Justus Liebig Garage, Holzstrasse 4, 64283 Darmstadt				01600	-0,35			0,00	
2.197	01401	Abziehbare Vorsteuer 7 %	28.07.17	1181	<Storno> Justus Liebig Garage, Holzstrasse 4, 64283 Darmstadt	M-ZO 523 | 7			01600	-0,35			0,00	
2.348	01401	Abziehbare Vorsteuer 7 %	28.07.17	1305	Justus Liebig Garage, Holzstrasse 4, 64283 Darmstadt	M-ZO 523			01600		0,35		0,00	
2.518	01401	Abziehbare Vorsteuer 7 %	28.07.17	1470	594 - 	Justus Liebig Garage	M-ZO 523	SAP Lehrgang		01600		0,68		0,00	
2.112	01401	Abziehbare Vorsteuer 7 %	12.08.17	1041	Parkhaus-Betriebs GmbH, Konrad-Adenauer-Str. 15, 60313 Frankfurt, Parkhaus Schi	M-ZO 523 | 7			01600	1,31			0,00	
2.269	01401	Abziehbare Vorsteuer 7 %	17.08.17	1235	KVR		KVR		01700		1,31		0,00	
2.271	01401	Abziehbare Vorsteuer 7 %	17.08.17	1235	<Storno> KVR		KVR		01700		-1,31		0,00	
1.968	01401	Abziehbare Vorsteuer 7 %	29.08.17	1159	Hotel Bockshaut, Inh. Reiner Heiı, Kirchstr. 7-9, 64283 Darmstadt				01600	0,79			0,00	
2.126	01401	Abziehbare Vorsteuer 7 %	29.08.17	1159	<Storno> Hotel Bockshaut, Inh. Reiner Heiı, Kirchstr. 7-9, 64283 Darmstadt				01600	-0,79			0,00	
2.129	01401	Abziehbare Vorsteuer 7 %	29.08.17	1159	Hotel Bockshaut, Inh. Reiner Heiı, Kirchstr. 7-9, 64283 Darmstadt		SAP Lehrgang		01600	0,79			0,00	
2.130	01401	Abziehbare Vorsteuer 7 %	29.08.17	1159	<Storno> Hotel Bockshaut, Inh. Reiner Heiı, Kirchstr. 7-9, 64283 Darmstadt		SAP Lehrgang		01600	-0,79			0,00	
2.133	01401	Abziehbare Vorsteuer 7 %	29.08.17	1159	Hotel Bockshaut, Inh. Reiner Heiı, Kirchstr. 7-9, 64283 Darmstadt		SAP Lehrgang		01600	0,79			0,00	
2.154	01401	Abziehbare Vorsteuer 7 %	29.08.17	1159	<Storno> Hotel Bockshaut, Inh. Reiner Heiı, Kirchstr. 7-9, 64283 Darmstadt		SAP Lehrgang		01600	-0,79			0,00	
2.517	01401	Abziehbare Vorsteuer 7 %	29.08.17	1469	7621 - Bockshaut Fr¸hst¸ck	SAP Lehrgang			01600	0,79			0,00	
170	01401	Abziehbare Vorsteuer 7 %	15.09.17	156	Metro Hotel & Villa GmbH Frankfurt am000	Frankfurt			01710	12,30			0,00	
171	01401	Abziehbare Vorsteuer 7 %	15.09.17	156	<Storno> Metro Hotel & Villa GmbH Frankfurt am000	Frankfurt			01710	-12,30			0,00	
172	01401	Abziehbare Vorsteuer 7 %	15.09.17	157	Metro Hotel & Villa GmbH Frankfurt am000	Frankfurt			01710	12,30			0,00	
2.506	01401	Abziehbare Vorsteuer 7 %	15.09.17	1458	Metro Hotel GmbH Frankfurt am000	Frankfurt			01710		12,30		0,00	
2.507	01401	Abziehbare Vorsteuer 7 %	15.09.17	1459	667 - Metro Hotel GmbH Frankfurt am000 - ‹bernachtung				01710	11,54			0,00	
1.700	01401	Abziehbare Vorsteuer 7 %	18.09.17	236	Kartenzahlung DB AUTOMAT//MUENCHEN HBF/DE 2017-09-16T19:38:07 KFN 1 VJ 2012				01700	0,37			0,00	
1.882	01401	Abziehbare Vorsteuer 7 %	18.09.17	236	<Storno> Kartenzahlung DB AUTOMAT//MUENCHEN HBF/DE 2017-09-16T19:38:07 KFN 1 VJ 				01700	-0,37			0,00	
2.106	01401	Abziehbare Vorsteuer 7 %	18.09.17	1036	Gotzinger Str. 48	M-ZO 523	KVR		01600	0,39			0,00	
2.520	01401	Abziehbare Vorsteuer 7 %	18.09.17	1472	Gotzinger Str	M-ZO 523	KVR		01600		0,39		0,00	
36	01401	Abziehbare Vorsteuer 7 %	16.10.17	32	EASKartenzahlung APCOA AUTOPARKING GMBH//STUTTGART/D 2017-10-14T17:54:24 KFN 1 V	M-ZO 523	Auto - Parken		01710	0,08			0,00	
187	01401	Abziehbare Vorsteuer 7 %	16.10.17	32	<Storno> EASKartenzahlung APCOA AUTOPARKING GMBH//STUTTGART/D 2017-10-14T17:54:2	M-ZO 523	Auto - Parken		01710	-0,08			0,00	
157	01401	Abziehbare Vorsteuer 7 %	03.11.17	144	Kartenzahlung HOLIDAY INN FRANKF AIRPORT GIR 6917 2017-11-02T20:54:53 KFN 1 VJ 2	Bridging IT			01700	5,69			0,00	
2.510	01401	Abziehbare Vorsteuer 7 %	03.11.17	1462	Holiday Inn, Airport-North	Bridging IT			01700		5,69		0,00	
2.511	01401	Abziehbare Vorsteuer 7 %	03.11.17	1463	661 - Kartenzahlung HOLIDAY INN FRANKF AIRPORT GIR 6917 2017-11-02T20:5 - ‹berna	Bridging IT			01700	5,30			0,00	
218	01401	Abziehbare Vorsteuer 7 %	13.11.17	38	HOLIDAY INN AIRPORT FRANKFURT 000	Bridging IT			01710	6,93			0,00	
2.512	01401	Abziehbare Vorsteuer 7 %	13.11.17	1464	Holiday Inn	Bridging IT			01710		6,93		0,00	
2.513	01401	Abziehbare Vorsteuer 7 %	13.11.17	1465	660 - Holiday Inn - ‹bernachtung	Bridging IT			01710	5,56			0,00	
2.108	01401	Abziehbare Vorsteuer 7 %	23.11.17	1037	Apcoa Parking, Stuttgart Airport?	M-ZO 523 | 7			01600	0,46			0,00	
2.514	01401	Abziehbare Vorsteuer 7 %	23.11.17	1466	Apcoa Parking, Stuttgart Airport?	M-ZO 523			01600		0,46		0,00	
1.984	01406	Abziehbare Vorsteuer 19 %	04.01.17	448	Rundfunk ARD, ZDF, Dradio				01700	33,53			0,00	
58	01406	Abziehbare Vorsteuer 19 %	12.01.17	53	XING AG		Abo - XING		01700	3,33			0,00	
51	01406	Abziehbare Vorsteuer 19 %	13.01.17	46	Telefonica		Handy - Telefonica		01700	2,55			0,00	
64	01406	Abziehbare Vorsteuer 19 %	13.01.17	59	Telefonica		Handy - Telefonica		01700	3,99			0,00	
147	01406	Abziehbare Vorsteuer 19 %	17.01.17	136	ESSO STATION MUENCHEN MUENCHEN	M-ZO 523			01700	12,37			0,00	
191	01406	Abziehbare Vorsteuer 19 %	17.01.17	136	<Storno> ESSO STATION MUENCHEN MUENCHEN	M-ZO 523			01700	-12,37			0,00	
192	01406	Abziehbare Vorsteuer 19 %	17.01.17	136	ESSO STATION MUENCHEN MUENCHEN	M-ZO 523			01710	12,37			0,00	
138	01406	Abziehbare Vorsteuer 19 %	25.01.17	127	Mobilcom-Debitel		Handy - Mobilcom		01700	11,01			0,00	
162	01406	Abziehbare Vorsteuer 19 %	25.01.17	148	Kartenzahlung ESSO Deutschland GmbH	M-ZO 523			01700	14,47			0,00	
74	01406	Abziehbare Vorsteuer 19 %	02.02.17	68	Vodafone GmbH		Festnetz - Vodafone		01700	5,48			0,00	
1.986	01406	Abziehbare Vorsteuer 19 %	06.02.17	486	Kartenzahlung AGIP				01700	7,76			0,00	
1.987	01406	Abziehbare Vorsteuer 19 %	06.02.17	1174	Kartenzahlung AGIP ASCHHEIM, EICHENDORFFSTR.20//A 2017-04-08T21:10:04 KFN 1 VJ 2				01700	8,66			0,00	
1.989	01406	Abziehbare Vorsteuer 19 %	06.02.17	1174	<Storno> Kartenzahlung AGIP ASCHHEIM, EICHENDORFFSTR.20//A 2017-04-08T21:10:04 K				01700	-8,66			0,00	
45	01406	Abziehbare Vorsteuer 19 %	13.02.17	40	Telefonica		Handy - Telefonica		01700	2,55			0,00	
62	01406	Abziehbare Vorsteuer 19 %	13.02.17	57	Telefonica		Handy - Telefonica		01700	3,35			0,00	
100	01406	Abziehbare Vorsteuer 19 %	13.02.17	91	Portunity		VPN		01700	8,05			0,00	
129	01406	Abziehbare Vorsteuer 19 %	20.02.17	118	Kartenzahlung AGIP	M-ZO 523			01700	10,51			0,00	
161	01406	Abziehbare Vorsteuer 19 %	22.02.17	147	Mobilcom-Debitel		Handy - Mobilcom		01700	14,00			0,00	
139	01406	Abziehbare Vorsteuer 19 %	24.02.17	128	Kartenzahlung SHELL	M-ZO 523			01700	11,02			0,00	
2.301	01406	Abziehbare Vorsteuer 19 %	25.02.17	1262	Holzkirchen S¸d, J+L Nussbaum, Rastst‰tte BAB8, 83607 Holzkirchen/Oberbayern	M-ZO 523			01600	4,29			0,00	
2.476	01406	Abziehbare Vorsteuer 19 %	25.02.17	1262	<Storno> Holzkirchen S¸d, J+L Nussbaum, Rastst‰tte BAB8, 83607 Holzkirchen/Oberb	M-ZO 523			01600	-4,29			0,00	
65	01406	Abziehbare Vorsteuer 19 %	28.02.17	60	Aral AG	M-ZO 523			01700	4,29			0,00	
113	01406	Abziehbare Vorsteuer 19 %	01.03.17	103	Kartenzahlung AGIP	M-ZO 523			01700	9,45			0,00	
72	01406	Abziehbare Vorsteuer 19 %	03.03.17	66	Vodafone GmbH		Festnetz - Vodafone		01700	5,42			0,00	
63	01406	Abziehbare Vorsteuer 19 %	13.03.17	58	Telefonica Germany GmbH + Co. OHG Kd-Nr.: 17337791, Rg-Nr.: 136211337 4/05, Ihre		Handy - Telefonica		01700	3,80			0,00	
2.318	01406	Abziehbare Vorsteuer 19 %	17.03.17	1279	Single Tageskarte MVV - DB, Auﬂenraum (Ring 5-16)	MVV			01600	1,05			0,00	
96	01406	Abziehbare Vorsteuer 19 %	22.03.17	88	Kartenzahlung AGIP ASCHHEIM, EICHENDORFFSTR.20//A 2017-03-21T14:22:11 KFN 1 VJ 2	M-ZO 523			01710	7,91			0,00	
97	01406	Abziehbare Vorsteuer 19 %	22.03.17	88	<Storno> Kartenzahlung AGIP ASCHHEIM, EICHENDORFFSTR.20//A 2017-03-21T14:22:11 K	M-ZO 523			01710	-7,91			0,00	
98	01406	Abziehbare Vorsteuer 19 %	22.03.17	89	Kartenzahlung AGIP ASCHHEIM, EICHENDORFFSTR.20//A 2017-03-21T14:22:11 KFN 1 VJ 2	M-ZO 523			01700	7,91			0,00	
174	01406	Abziehbare Vorsteuer 19 %	27.03.17	159	mobilcom-debitel Kd 0014627444 Wir sagen danke. RG-N r. M17020811175 320,53 EUR 		Handy - Mobilcom		01700	51,18			0,00	
73	01406	Abziehbare Vorsteuer 19 %	31.03.17	67	Vodafone GmbH Kd.Nr. 001910905173 VK 1018840053 R g.Nr. 003473548510 vom 17.03.1		Festnetz - Vodafone		01700	5,42			0,00	
2.486	01406	Abziehbare Vorsteuer 19 %	05.04.17	1440	1551 - 	Textilreinigung Leitner				01600	8,75			0,00	
107	01406	Abziehbare Vorsteuer 19 %	10.04.17	98	Kartenzahlung AGIP ASCHHEIM, EICHENDORFFSTR.20//A 2017-04-08T21:10:04 KFN 1 VJ 2	M-ZO 523			01700	8,62			0,00	
108	01406	Abziehbare Vorsteuer 19 %	10.04.17	98	<Storno> Kartenzahlung AGIP ASCHHEIM, EICHENDORFFSTR.20//A 2017-04-08T21:10:04 K	M-ZO 523			01700	-8,62			0,00	
109	01406	Abziehbare Vorsteuer 19 %	10.04.17	99	Kartenzahlung AGIP ASCHHEIM, EICHENDORFFSTR.20//A 2017-04-08T21:10:04 KFN 1 VJ 2	M-ZO 523			01700	8,66			0,00	
1.988	01406	Abziehbare Vorsteuer 19 %	10.04.17	1175	Kartenzahlung AGIP ASCHHEIM, EICHENDORFFSTR.20//A 2017-04-08T21:10:04 KFN 1 VJ 2				01700	8,66			0,00	
1.990	01406	Abziehbare Vorsteuer 19 %	10.04.17	1175	<Storno> Kartenzahlung AGIP ASCHHEIM, EICHENDORFFSTR.20//A 2017-04-08T21:10:04 K				01700	-8,66			0,00	
574	01406	Abziehbare Vorsteuer 19 %	11.04.17	526	ERP CERTIFICATI TEACHABLE.CO400				01710	-2,70			0,00	
575	01406	Abziehbare Vorsteuer 19 %	11.04.17	527	1.50% AUSLANDSEINSATZENTGELT				01710	-0,04			0,00	
1.532	01406	Abziehbare Vorsteuer 19 %	11.04.17	526	<Storno> ERP CERTIFICATI TEACHABLE.CO400				01710	2,70			0,00	
1.533	01406	Abziehbare Vorsteuer 19 %	11.04.17	526	ERP CERTIFICATI TEACHABLE.CO400				01710	2,70			0,00	
1.711	01406	Abziehbare Vorsteuer 19 %	11.04.17	527	<Storno> 1.50% AUSLANDSEINSATZENTGELT				01710	0,04			0,00	
1.712	01406	Abziehbare Vorsteuer 19 %	11.04.17	527	1.50% AUSLANDSEINSATZENTGELT				01710	0,04			0,00	
1.945	01406	Abziehbare Vorsteuer 19 %	11.04.17	1136	Lofeudo, Schreibwaren & B?robedarf, Erdinger STr. 5, 85609 Aschhheim				01600	1,56			0,00	
59	01406	Abziehbare Vorsteuer 19 %	12.04.17	54	XING AG G000.0000-00D9.726E XING PRM1170400 42254 End-to-End-Ref.: G000.0000-00D		Abo - XING		01700	3,33			0,00	
49	01406	Abziehbare Vorsteuer 19 %	13.04.17	44	Telefonica Germany GmbH + Co. OHG Kd-Nr.: 17337791, Rg-Nr.: 140863347 9/05, Ihre		Handy - Telefonica		01700	2,55			0,00	
437	01406	Abziehbare Vorsteuer 19 %	13.04.17	389	EBCL International GmbH GIBAATWWXXX AT982011182963788000 RENR 20171399 - B¸cher				01700	-59,14			0,00	
1.110	01406	Abziehbare Vorsteuer 19 %	13.04.17	389	<Storno> EBCL International GmbH GIBAATWWXXX AT982011182963788000 RENR 20171399 				01700	59,14			0,00	
1.111	01406	Abziehbare Vorsteuer 19 %	13.04.17	389	EBCL International GmbH GIBAATWWXXX AT982011182963788000 RENR 20171399 - B¸cher				01700	59,14			0,00	
829	01406	Abziehbare Vorsteuer 19 %	16.04.17	707	Parkplatz P52, Flughafen M?nchen	M-ZO 523 | 7			01600	0,32			0,00	
1.947	01406	Abziehbare Vorsteuer 19 %	16.04.17	1138	Flughafen MÅnchen GmbH, Postfach 231755, 85326 MÅnchen				01600	2,24			0,00	
2.163	01406	Abziehbare Vorsteuer 19 %	16.04.17	1138	<Storno> Flughafen MÅnchen GmbH, Postfach 231755, 85326 MÅnchen				01600	-2,24			0,00	
433	01406	Abziehbare Vorsteuer 19 %	21.04.17	385	T‹V Rheinland DEUTDEBBXXX DE97100700000117895300 ReNR. 112733327 - Access 2010				01700	-5,70			0,00	
1.343	01406	Abziehbare Vorsteuer 19 %	21.04.17	385	<Storno> T‹V Rheinland DEUTDEBBXXX DE97100700000117895300 ReNR. 112733327 - Acce				01700	5,70			0,00	
1.344	01406	Abziehbare Vorsteuer 19 %	21.04.17	385	T‹V Rheinland DEUTDEBBXXX DE97100700000117895300 ReNR. 112733327 - Access 2010				01700	5,70			0,00	
847	01406	Abziehbare Vorsteuer 19 %	24.04.17	725	KVR M?nchen, 80337 M?nchen	M-ZO 523 | 7			01600	3,19			0,00	
173	01406	Abziehbare Vorsteuer 19 %	26.04.17	158	mobilcom-debitel Kd 0014627444 Wir sagen danke. RG-N r. M17028384658 188,45 EUR 		Handy - Mobilcom		01700	30,09			0,00	
846	01406	Abziehbare Vorsteuer 19 %	26.04.17	724	KVR M?nchen, 80337 M?nchen	M-ZO 523 | 7			01600	3,19			0,00	
2.489	01406	Abziehbare Vorsteuer 19 %	26.04.17	1441	1561 - Kreisverwaltungsreferat M¬ünchen	M-ZO 523			01600		3,19		0,00	
2.490	01406	Abziehbare Vorsteuer 19 %	26.04.17	1442	1561 - Kreisverwaltungsreferat M¬ünchen	M-ZO 523			01600	2,95			0,00	
831	01406	Abziehbare Vorsteuer 19 %	27.04.17	709	Oberl?nderstr. Nord, M?nchen	M-ZO 523 | 7			01600	0,96			0,00	
849	01406	Abziehbare Vorsteuer 19 %	28.04.17	727	KVR M?nchen, 80337 M?nchen	M-ZO 523 | 7			01600	2,63			0,00	
130	01406	Abziehbare Vorsteuer 19 %	02.05.17	119	Kartenzahlung AGIP ASCHHEIM, EICHENDORFFSTR.20//A 2017-04-28T07:31:13 KFN 1 VJ 2	M-ZO 523			01700	10,55			0,00	
855	01406	Abziehbare Vorsteuer 19 %	02.05.17	733	KVR M?nchen, 80337 M?nchen	M-ZO 523 | 7			01600	3,19			0,00	
856	01406	Abziehbare Vorsteuer 19 %	03.05.17	734	KVR M?nchen, 80337 M?nchen	M-ZO 523 | 7			01600	3,19			0,00	
843	01406	Abziehbare Vorsteuer 19 %	04.05.17	721	KVR M?nchen, 80337 M?nchen	M-ZO 523 | 7			01600	2,32			0,00	
865	01406	Abziehbare Vorsteuer 19 %	04.05.17	743	KVR M?nchen, 80337 M?nchen	M-ZO 523 | 7			01600	1,04			0,00	
84	01406	Abziehbare Vorsteuer 19 %	05.05.17	77	Vodafone GmbH Kd.Nr. 001910905173 VK 1018840053 R g.Nr. 003476742983 vom 21.04.1		Festnetz - Vodafone		01700	6,48			0,00	
158	01406	Abziehbare Vorsteuer 19 %	05.05.17	145	Mobilcom-Debitel		Handy - Mobilcom		01700	14,00			0,00	
159	01406	Abziehbare Vorsteuer 19 %	05.05.17	146	AMAZON.DE AMAZON.DE 018		Drucker		01710	14,03			0,00	
160	01406	Abziehbare Vorsteuer 19 %	05.05.17	145	<Storno> Mobilcom-Debitel		Handy - Mobilcom		01700	-14,00			0,00	
167	01406	Abziehbare Vorsteuer 19 %	05.05.17	153	Amazon DE Marketplace 800-279-6620018		Drucker		01710	23,93			0,00	
854	01406	Abziehbare Vorsteuer 19 %	05.05.17	732	Oberl?nderstr. Nord, M?nchen	M-ZO 523 | 7			01600	0,96			0,00	
1.829	01406	Abziehbare Vorsteuer 19 %	06.05.17	1077	Single Tageskarte Außenraum München-Riem, Ringe 5-16 - DB	DB	÷PNV		01600	1,05			0,00	
175	01406	Abziehbare Vorsteuer 19 %	08.05.17	160	AMAZON.DE AMAZON.DE 018		Drucker		01710	52,28			0,00	
861	01406	Abziehbare Vorsteuer 19 %	08.05.17	739	KVR M?nchen, 80337 M?nchen	M-ZO 523 | 7			01600	3,19			0,00	
1.827	01406	Abziehbare Vorsteuer 19 %	08.05.17	1078	Single Tageskarte München XXL- MVG	MVG	÷PNV		01600	1,41			0,00	
2.494	01406	Abziehbare Vorsteuer 19 %	08.05.17	1446	AMAZON.DE		Drucker		01710		52,28		0,00	
2.495	01406	Abziehbare Vorsteuer 19 %	08.05.17	1447	789 - AMAZON.DE		Drucker		01710	52,28			0,00	
863	01406	Abziehbare Vorsteuer 19 %	09.05.17	741	Oberl?nderstr. Nord, M?nchen	M-ZO 523 | 7			01600	0,61			0,00	
1.834	01406	Abziehbare Vorsteuer 19 %	09.05.17	1083	O2-mobilcom-debitel (MC) TK-Triple		Handy - einmalig		01600	1,87			0,00	
2.242	01406	Abziehbare Vorsteuer 19 %	09.05.17	1083	<Storno> O2-mobilcom-debitel (MC) TK-Triple		Handy - einmalig		01600	-1,87			0,00	
2.243	01406	Abziehbare Vorsteuer 19 %	09.05.17	1083	O2-mobilcom-debitel (MC) TK-Triple	Handy XA1	Handy - einmalig		01600	2,23			0,00	
2.484	01406	Abziehbare Vorsteuer 19 %	09.05.17	1438	O2-mobilcom-debitel (MC) TK-Triple	Handy XA1	Handy		01600		2,23		0,00	
103	01406	Abziehbare Vorsteuer 19 %	10.05.17	94	Kartenzahlung AGIP ASCHHEIM, EICHENDORFFSTR.20//A 2017-05-09T07:10:18 KFN 1 VJ 2	M-ZO 523			01700	8,34			0,00	
833	01406	Abziehbare Vorsteuer 19 %	10.05.17	711	KVR M?nchen, 80337 M?nchen	M-ZO 523 | 7			01600	3,19			0,00	
851	01406	Abziehbare Vorsteuer 19 %	11.05.17	729	KVR M?nchen, 80337 M?nchen	M-ZO 523 | 7			01600	3,19			0,00	
48	01406	Abziehbare Vorsteuer 19 %	12.05.17	43	Telefonica Germany GmbH + Co. OHG Kd-Nr.: 17337791, Rg-Nr.: 144674498 0/05, Ihre		Handy - Telefonica		01700	2,55			0,00	
853	01406	Abziehbare Vorsteuer 19 %	12.05.17	731	KVR M?nchen, 80337 M?nchen	M-ZO 523 | 7			01600	2,95			0,00	
56	01406	Abziehbare Vorsteuer 19 %	15.05.17	51	HSO*BS DIGITALCOMMERCE ESDOWNLOAD.D018	Windows 10			01710	2,70			0,00	
492	01406	Abziehbare Vorsteuer 19 %	15.05.17	444	SGD Rate 1 End-to-End-Ref.: 1730075.184099489741477 Mandatsref: 910852M1 Gl‰ubi				01700	-19,00			0,00	
493	01406	Abziehbare Vorsteuer 19 %	15.05.17	445	SGD Rate 1 End-to-End-Ref.: 1730076.184099489741478 Mandatsref: 910853M1 Gl‰ubi				01700	-22,67			0,00	
494	01406	Abziehbare Vorsteuer 19 %	15.05.17	446	SGD Rate 1 End-to-End-Ref.: 1730077.184099489741477 Mandatsref: 910854M1 Gl‰ubi				01700	-23,79			0,00	
885	01406	Abziehbare Vorsteuer 19 %	15.05.17	763	Kreisverwaltungsreferat, Ruppertstr. 19, 80337 M?nchen	M-ZO 523 | 7			01600	3,19			0,00	
