Konto	Name	Letzte Buchung	EB-Wert Soll	EB-Wert Haben	Summe für WJ Soll	Summe für WJ Haben	Summe per WJ Soll	Summe per WJ Haben	Saldo per WJ Soll	Saldo per WJ Haben	
06300	Sonstige betriebliche Aufwendungen	26.10.20	0,00	0,00	332,29	0,00	332,29	0,00	332,29	0,00
06303	Fremdleistungen/Fremdarbeiten	01.12.20	0,00	0,00	234,62	0,00	234,62	0,00	234,62	0,00
06325	Gas, Strom, Wasser	19.05.20	0,00	0,00	0,03	0,00	0,03	0,00	0,03	0,00
06392	Zuwendungen, Spenden für mildtätige Zwecke	16.11.20	0,00	0,00	508,00	0,00	508,00	0,00	508,00	0,00
06430	Sonstige Abgaben	01.04.20	0,00	0,00	100,68	0,00	100,68	0,00	100,68	0,00
06495	Wartungskosten für Hard- und Software	24.11.20	0,00	0,00	728,48	0,00	728,48	0,00	728,48	0,00
06520	Kfz-Versicherungen	28.10.20	0,00	0,00	2.130,89	0,00	2.130,89	0,00	2.130,89	0,00
06530	Laufende Kfz-Betriebskosten	06.12.20	0,00	0,00	2.775,73	0,00	2.775,73	0,00	2.775,73	0,00
06540	Kfz-Reparaturen	09.09.20	0,00	0,00	595,69	0,00	595,69	0,00	595,69	0,00
06570	Sonstige Kfz-Kosten	31.10.20	0,00	0,00	122,00	0,00	122,00	0,00	122,00	0,00
06642	Eingeschränkt abziehbare Betriebsausgaben (nicht abziehbarer Anteil)	23.11.20	0,00	0,00	1.760,62	0,00	1.760,62	0,00	1.760,62	0,00
06670	Reisekosten Unternehmer	11.02.20	0,00	0,00	11,51	0,00	11,51	0,00	11,51	0,00
06673	Reisekosten Unternehmer, Fahrtkosten	20.12.20	0,00	0,00	966,47	0,00	966,47	0,00	966,47	0,00
06674	Reisekosten Unternehmer Verpflegungsmehraufwand	17.10.20	0,00	0,00	535,89	0,00	535,89	0,00	535,89	0,00
06680	Reisekosten UN Übernachtungsaufwand und Reisenebenkosten	17.10.20	0,00	0,00	2.619,74	147,66	2.619,74	147,66	2.472,08	0,00
06800	Porto	16.07.20	0,00	0,00	24,12	7,99	24,12	7,99	16,13	0,00
06805	Telefon	03.12.20	0,00	0,00	1.723,95	0,00	1.723,95	0,00	1.723,95	0,00
06810	Telefax und Internetkosten	04.11.20	0,00	0,00	408,61	0,00	408,61	0,00	408,61	0,00
06821	Fortbildungskosten 	27.03.20	0,00	0,00	495,00	0,00	495,00	0,00	495,00	0,00
06827	Abschluss- und Prüfungskosten	30.07.20	0,00	0,00	750,00	0,00	750,00	0,00	750,00	0,00
06837	Aufwendungen für Lizenzen, Konzessionen	24.11.20	0,00	0,00	691,63	0,00	691,63	0,00	691,63	0,00
06845	Werkzeuge und Kleingeräte	18.11.20	0,00	0,00	1.134,90	0,00	1.134,90	0,00	1.134,90	0,00
06850	Sonstiger Betriebsbedarf	09.09.20	0,00	0,00	39,27	0,00	39,27	0,00	39,27	0,00
06855	Nebenkosten des Geldverkehrs	30.11.20	0,00	0,00	251,93	0,00	251,93	0,00	251,93	0,00
07685	Kfz-Steuer	02.10.20	0,00	0,00	481,00	0,00	481,00	0,00	481,00	0,00
07690	Steuernachzahlung Vorj. - sonst. Steuern	28.08.20	0,00	0,00	1.451,53	0,00	1.451,53	0,00	1.451,53	0,00
09000	Saldenvorträge Sachkonten	01.01.20	2.987,95	0,00	0,00	0,00	0,00	0,00	2.987,95	0,00
