Buchungsnummer	Kontonummer	Kontobezeichnung	Belegdatum	Belegnummer	Buchungstext	Kostenträger 	Kostenstelle 	Gegenkonto	Sollbetrag EUR	Habenbetrag EUR	USt-Konto	USt-%	SPLIT
317	01401	Abziehbare Vorsteuer 7 %	28.02.20	221	<Storno> OLB FLUGHAFEN MUENCHEN GMBH GIR 69128452020-02-28T00:09:21 KFN 1 VJ 201			01700	-1,96			0,00	
278	01401	Abziehbare Vorsteuer 7 %	02.03.20	237	OLB PARKGARAGE RIEGER CITY//Muenchen/DE2020-02-28T15:16:41 KFN 1 VJ 2012 K			01700	0,98			0,00	
319	01401	Abziehbare Vorsteuer 7 %	02.03.20	237	<Storno> OLB PARKGARAGE RIEGER CITY//Muenchen/DE2020-02-28T15:16:41 KFN 1 VJ 201			01700	-0,98			0,00	
459	01401	Abziehbare Vorsteuer 7 %	05.03.20	349	OLB H4 HOTEL FRANKFURT MESSE GIR 6927592020-03-03T21:53:42 KFN 1 VJ 2012 K			01700	7,20			0,00	
460	01401	Abziehbare Vorsteuer 7 %	05.03.20	350	OLB H4 HOTEL FRANKFURT MESSE GIR 6927592020-03-04T08:15:45 KFN 1 VJ 2012 K			01700	7,26			0,00	
549	01401	Abziehbare Vorsteuer 7 %	05.03.20	349	<Storno> OLB H4 HOTEL FRANKFURT MESSE GIR 6927592020-03-03T21:53:42 KFN 1 VJ 201			01700	-7,20			0,00	
550	01401	Abziehbare Vorsteuer 7 %	05.03.20	438	OLB H4 HOTEL FRANKFURT MESSE GIR 6927592020-03-03T21:53:42 KFN 1 VJ 2012 K			01700	6,30			0,00	
551	01401	Abziehbare Vorsteuer 7 %	05.03.20	350	<Storno> OLB H4 HOTEL FRANKFURT MESSE GIR 6927592020-03-04T08:15:45 KFN 1 VJ 201			01700	-7,26			0,00	
552	01401	Abziehbare Vorsteuer 7 %	05.03.20	439	OLB H4 HOTEL FRANKFURT MESSE GIR 6927592020-03-04T08:15:45 KFN 1 VJ 2012 K			01700	6,37			0,00	
466	01401	Abziehbare Vorsteuer 7 %	09.03.20	356	OLB Motel One Betriebs GmbH//Frankfurt/2020-03-06T08:44:21 KFN 1 VJ 2012 K			01700	5,17			0,00	
467	01401	Abziehbare Vorsteuer 7 %	09.03.20	357	OLB Motel One Betriebs GmbH//Frankfurt/2020-03-05T22:58:21 KFN 1 VJ 2012 K			01700	5,17			0,00	
468	01401	Abziehbare Vorsteuer 7 %	09.03.20	358	OLB Motel One Betriebs GmbH//Frankfurt/2020-03-07T09:22:21 KFN 1 VJ 2012 K			01700	10,34			0,00	
454	01401	Abziehbare Vorsteuer 7 %	11.03.20	344	OLB NR8676167015 75PARIS FRKAUFUMSATZ09.03003933ARN74974000069881599701503			01740	5,95			0,00	
455	01401	Abziehbare Vorsteuer 7 %	12.03.20	345	OLB NR8676167015 75PARIS FRKAUFUMSATZ09.03103332ARN74974000070881860701502			01740	5,65			0,00	
456	01401	Abziehbare Vorsteuer 7 %	13.03.20	346	OLB NR8676167015 75PARIS FRKAUFUMSATZ10.03112752ARN74974000071881600701506			01740	5,65			0,00	
457	01401	Abziehbare Vorsteuer 7 %	16.03.20	347	OLB NR8676167015 75PARIS FRKAUFUMSATZ11.03104737ARN74974000072881828701501			01740	5,95			0,00	
494	01401	Abziehbare Vorsteuer 7 %	18.03.20	384	OLB HOTEL IBIS 0110973//BREST FR/1 2020-03-15T20:41:01 KFN 1 VJ 2012 Karte			01700	4,46			0,00	
598	01401	Abziehbare Vorsteuer 7 %	18.03.20	462	OLB /514393966			01700		10,34		0,00	
600	01401	Abziehbare Vorsteuer 7 %	19.03.20	463	OLB HOTEL IBIS 0110973//BREST FR/1 2020-03-17T11:26:04 KFN 1 VJ 2012 Karte			01700	6,48			0,00	
622	01401	Abziehbare Vorsteuer 7 %	23.03.20	473	OLB ECHO TANKSTELLEN GMBH//Wertheim/DE 2020-03-20T05:58:10 KFN 1 VJ 2012 K			01700	0,31			0,00	
656	01401	Abziehbare Vorsteuer 7 %	23.03.20	473	<Storno> OLB ECHO TANKSTELLEN GMBH//Wertheim/DE 2020-03-20T05:58:10 KFN 1 VJ 201			01700	-0,31			0,00	
657	01401	Abziehbare Vorsteuer 7 %	23.03.20	494	OLB ECHO TANKSTELLEN GMBH//Wertheim/DE 2020-03-20T05:58:10 KFN 1 VJ 2012 K			01700	0,31			0,00	
658	01401	Abziehbare Vorsteuer 7 %	23.03.20	494	<Storno> OLB ECHO TANKSTELLEN GMBH//Wertheim/DE 2020-03-20T05:58:10 KFN 1 VJ 201			01700	-0,31			0,00	
767	01401	Abziehbare Vorsteuer 7 %	14.04.20	577	OLB JAMYS BURGER BEDANKT SIE BE//Frankf2020-04-11T12:25:55 KFN 1 VJ 2012 K	Frankfurt		01700	0,65			0,00	
765	01401	Abziehbare Vorsteuer 7 %	22.04.20	576	OLB JAMYS BURGER BEDANKT SIE BE//Frankf2020-04-21T17:40:28 KFN 1 VJ 2012 K	Frankfurt		01700	0,65			0,00	
769	01401	Abziehbare Vorsteuer 7 %	22.04.20	578	OLB WIENER FEINBAECKER HEBERER//FRANKFU2020-04-21T17:00:31 KFN 1 VJ 2012 K	Frankfurt		01700	0,28			0,00	
751	01401	Abziehbare Vorsteuer 7 %	04.05.20	566	OLB PP.2280.PP . TRAINLINE, Ihr Einkauf bei TRAINLINE	DB		01700	5,15			0,00	
780	01401	Abziehbare Vorsteuer 7 %	04.05.20	566	<Storno> OLB PP.2280.PP . TRAINLINE, Ihr Einkauf bei TRAINLINE	DB		01700	-5,15			0,00	
256	01406	Abziehbare Vorsteuer 19 %	02.01.20	217	OLB RF44X549697255 - 2020 - Anne Richter			01700	33,53			0,00	
23	01406	Abziehbare Vorsteuer 19 %	03.01.20	23	OLB Kd.Nr. 001910905173 VK1018840053 Rg.Nr. 003580849186 vom 19.12.19 Voda		Festnetz - Vodafone	01700	6,22			0,00	
99	01406	Abziehbare Vorsteuer 19 %	03.01.20	91	Berlin AB			01600	0,46			0,00	
445	01406	Abziehbare Vorsteuer 19 %	03.01.20	328	OLB 4415.2939.1718 Immobilien Scout GmbH ImmobilienScout24 PREMIUM-Mitglie		Wohnungssuche	01700	4,78			0,00	
95	01406	Abziehbare Vorsteuer 19 %	05.01.20	88	Frankfurt RMV			01600	0,85			0,00	
322	01406	Abziehbare Vorsteuer 19 %	06.01.20	271	OLB RF1662214551200 - KFZ Versicherung 2019 2019 M-R 7408 - Anne Richter	M-R 7408		01700	129,50			0,00	
324	01406	Abziehbare Vorsteuer 19 %	06.01.20	272	OLB RIEM ARCADEN//MUENCHEN/DE 2020-01-04T15:40:46 KFN 1 VJ 2012 Kartenzahl	M-R 7408		01700	1,34			0,00	
35	01406	Abziehbare Vorsteuer 19 %	07.01.20	35	OLB OMV D7192 Neufahrn b. Freising 04.01.2020 21:23	M-R 7408		01700	12,29			0,00	
106	01406	Abziehbare Vorsteuer 19 %	07.01.20	97	OLB FRAPORT AG//FRANKFURT/DE 2020-01-06T10:23:42 KFN 1 VJ 2012 Kartenzahlu	M-R 7408		01700	7,34			0,00	
91	01406	Abziehbare Vorsteuer 19 %	08.01.20	84	OLB IC HOT. FRANKF. AIRPOR//FRANKFURT/D2020-01-06T10:03:02 KFN 1 VJ 2012 K			01700	3,67			0,00	
108	01406	Abziehbare Vorsteuer 19 %	08.01.20	98	OLB Celona Nuernberg//Frankfurt/DE 2020-01-06T22:24:05 KFN 1 VJ 2012 Karte			01700	5,59			0,00	
38	01406	Abziehbare Vorsteuer 19 %	10.01.20	38	OLB ELV91400724 08.01 10.53 ME1 STAR TST HELBERSDORFER STRASSE 95	M-R 7408		01700	8,82			0,00	
28	01406	Abziehbare Vorsteuer 19 %	13.01.20	28	OLB SHELL 2311 / Hamburg /DE 2020-01-10T19:30:11 KFN1 VJ 2012 Kartenzahlun			01700	7,79			0,00	
92	01406	Abziehbare Vorsteuer 19 %	13.01.20	85	OLB H+ HOTEL BERLIN-MITTE GIR 69275884/2020-01-11T02:53:53 KFN 1 VJ 2012 K			01700	2,99			0,00	
118	01406	Abziehbare Vorsteuer 19 %	13.01.20	106	OLB MUSEUMSHAFEN CAFE GIR 69183424//HAM2020-01-10T21:09:32 KFN 1 VJ 2012 K			01700	4,09			0,00	
123	01406	Abziehbare Vorsteuer 19 %	13.01.20	108	OLB ABION SPREEBOGEN WATERSI ABIONHOTEL2020-01-11T16:52:30 KFN 1 VJ 2012 K			01700	2,08			0,00	
221	01406	Abziehbare Vorsteuer 19 %	13.01.20	189	OLB RF1662214551200 - KFZ Versicherung 2020 2020 M-R 7408 - Anne Richter	M-R 7408		01700	131,08			0,00	
53	01406	Abziehbare Vorsteuer 19 %	14.01.20	53	OLB R000.0000-0149.334F XING PRM120010043613 Anne Richter Vielen Dank und		Abo - XING	01700	3,33			0,00	
114	01406	Abziehbare Vorsteuer 19 %	14.01.20	103	OLB Sveda - Great Food . D//Berlin/DE/02020-01-12T16:29:46 KFN 1 VJ 2012 K			01700	1,82			0,00	
55	01406	Abziehbare Vorsteuer 19 %	16.01.20	55	OLB Kd-Nr.: 17337791, Rg-Nr.: 1418514383/6, Ihre Tarifrechnung		Handy - Telefonica	01700	2,55			0,00	
121	01406	Abziehbare Vorsteuer 19 %	16.01.20	107	OLB VIA SCHANKHALLE GGMBH GIR 69032007/2020-01-15T19:35:04 KFN 1 VJ 2012 K			01700	1,12			0,00	
54	01406	Abziehbare Vorsteuer 19 %	17.01.20	54	OLB Re-Nr. 0642447988 - Lexware buchhaltung premium- Rechnung vom 08.03.20	Haufe Lexware		01700	9,10			0,00	
97	01406	Abziehbare Vorsteuer 19 %	17.01.20	89	OLB DB AUTOMAT /BERLIN GESUNDBRUNNEN/DE2020-01-16T02:54:19 KFN 1 VJ 2012 K			01700	15,31			0,00	
137	01406	Abziehbare Vorsteuer 19 %	17.01.20	86	OLB H2 HOTEL MUENCHEN MESSE GIR 69275692020-01-16T19:01:37 KFN 1 VJ 2012 K			01700	26,48			0,00	
138	01406	Abziehbare Vorsteuer 19 %	17.01.20	86	<Storno> OLB H2 HOTEL MUENCHEN MESSE GIR 69275692020-01-16T19:01:37 KFN 1 VJ 201			01700	-26,48			0,00	
141	01406	Abziehbare Vorsteuer 19 %	17.01.20	122	OLB H2 HOTEL MUENCHEN MESSE GIR 69275692020-01-16T19:01:37 KFN 1 VJ 2012 K			01700	2,97			0,00	
223	01406	Abziehbare Vorsteuer 19 %	17.01.20	190	OLB RF1662214551200 - KFZ Versicherung 2020 / 2020 M-R 7408 - Anne Richter	M-R 7408		01700	9,54			0,00	
225	01406	Abziehbare Vorsteuer 19 %	17.01.20	16	OLB DB AUTOMAT//ISMANING/DE 2020.01.16T11.23.53 Folgenr.000 Verfalld.2022.	DB		01740	1,33			0,00	
226	01406	Abziehbare Vorsteuer 19 %	17.01.20	16	<Storno> OLB DB AUTOMAT//ISMANING/DE 2020.01.16T11.23.53 Folgenr.000 Verfalld.20	DB		01740	-1,33			0,00	
227	01406	Abziehbare Vorsteuer 19 %	17.01.20	191	OLB DB AUTOMAT//ISMANING/DE 2020.01.16T11.23.53 Folgenr.000 Verfalld.2022.	DB		01740	1,33			0,00	
778	01406	Abziehbare Vorsteuer 19 %	17.01.20	190	<Storno> OLB RF1662214551200 - KFZ Versicherung 2020 / 2020 M-R 7408 - Anne Rich	M-R 7408		01700	-9,54			0,00	
143	01406	Abziehbare Vorsteuer 19 %	19.01.20	90	MVG Einzelfahrt			01600	0,53			0,00	
32	01406	Abziehbare Vorsteuer 19 %	20.01.20	32	OLB 10179360 M-R7408 16 0120			01700	9,58			0,00	
145	01406	Abziehbare Vorsteuer 19 %	21.01.20	100	Impala Coffee, Berlin - 315			01600	0,48			0,00	
667	01406	Abziehbare Vorsteuer 19 %	21.01.20	499	OLB Kaufland Berlin//Berlin/DE 2020-01-20T18:42:56 KFN 1 VJ 2012 Kartenzah			01700	6,23			0,00	
94	01406	Abziehbare Vorsteuer 19 %	22.01.20	87	Berlin, Christ-Str. 22	M-R 7408		01600	0,08			0,00	
115	01406	Abziehbare Vorsteuer 19 %	22.01.20	104	Impala Coffee - 344			01600	0,45			0,00	
147	01406	Abziehbare Vorsteuer 19 %	22.01.20	101	Impala Coffee, Berlin  - 317			01600	0,48			0,00	
229	01406	Abziehbare Vorsteuer 19 %	22.01.20	192	OLB NR8676167015 BERLINKAUFUMSATZ19.01124903ARN74987500020331986604839			01740	7,18			0,00	
22	01406	Abziehbare Vorsteuer 19 %	23.01.20	22	OLB SHELL 0010 / Hamburg /DE 2020-01-22T18:29:36 KFN1 VJ 2012 Kartenzahlun			01700	7,74			0,00	
103	01406	Abziehbare Vorsteuer 19 %	23.01.20	95	Parkhaus Hauptwache Frankfurt, Niddastr	M-R 7408		01600	2,39			0,00	
112	01406	Abziehbare Vorsteuer 19 %	23.01.20	102	Mac Donalds Hauptwache 11 Frankfurt			01600	0,43			0,00	
116	01406	Abziehbare Vorsteuer 19 %	23.01.20	105	La Perla - Frankfurt			01600	2,20			0,00	
231	01406	Abziehbare Vorsteuer 19 %	23.01.20	193	OLB NR8676167015 BERLINKAUFUMSATZ19.01113730ARN74987500020342932755856			01740	3,67			0,00	
292	01406	Abziehbare Vorsteuer 19 %	23.01.20	251	McDonalds An der Hauptwache 11, 60315 Frankfurt			01600	0,43			0,00	
449	01406	Abziehbare Vorsteuer 19 %	23.01.20	102	<Storno> Mac Donalds Hauptwache 11 Frankfurt			01600	-0,43			0,00	
64	01406	Abziehbare Vorsteuer 19 %	24.01.20	62	OLB Kartenzahlung ARAL Frankfurt Darmstadter Landstr.2020-01-23T13:05:04 K	M-R 7408		01700	6,40			0,00	
67	01406	Abziehbare Vorsteuer 19 %	27.01.20	65	OLB Kartenzahlung ARAL Dachau Alte Romerstrase 50//Da2020-01-24T16:41:24 K	M-R 7408		01700	2,55			0,00	
78	01406	Abziehbare Vorsteuer 19 %	27.01.20	76	OLB Kd 0014627444 Wir sagen danke. RG-Nr. M20013391185 69,45 EUR		Handy - Mobilcom	01700	11,09			0,00	
85	01406	Abziehbare Vorsteuer 19 %	27.01.20	82	OLB FLUGHAFEN MUENCHEN GMBH GIR 69131772020-01-25T23:53:05 KFN 1 VJ 2012 K	M-R 7408		01700	2,87			0,00	
101	01406	Abziehbare Vorsteuer 19 %	27.01.20	93	Rieger City München	M-R 7408		01600	1,92			0,00	
150	01406	Abziehbare Vorsteuer 19 %	27.01.20	93	<Storno> Rieger City München	M-R 7408		01600	-1,92			0,00	
71	01406	Abziehbare Vorsteuer 19 %	28.01.20	69	OLB SHELL 0476 / Karlsfeld/DE 2020-01-27T14:59:52 KFN1 VJ 2012 Kartenzahlu	M-R 7408		01700	10,71			0,00	
83	01406	Abziehbare Vorsteuer 19 %	28.01.20	81	OLB NR8676167015 DIGITALOCEA USKURS 1,1019100KAUFUMSATZ25.01 20,79223727AR	Digital Ocean		01740	3,01			0,00	
87	01406	Abziehbare Vorsteuer 19 %	28.01.20	83	OLB PARKGARAGE RIEGER CITY//Muenchen/DE2020.01.27T21.05.47 Folgenr.000 Ver	M-R 7408		01740	1,92			0,00	
104	01406	Abziehbare Vorsteuer 19 %	29.01.20	96	Parkhaus Olympia Einkaufszentrum	M-R 7408		01600	0,24			0,00	
72	01406	Abziehbare Vorsteuer 19 %	31.01.20	70	OLB Kd.Nr. 001910905173 VK1018840053 Rg.Nr. 003584002040 vom 17.01.20 Voda		Festnetz - Vodafone	01700	6,22			0,00	
82	01406	Abziehbare Vorsteuer 19 %	31.01.20	80	OLB Re-Nr. 0642282830 - 02034 Lexware buchhaltung premium - Rechnung vom 0	Haufe Lexware		01700	9,90			0,00	
446	01406	Abziehbare Vorsteuer 19 %	31.01.20	329	OLB 4442.1496.4672 Immobilien Scout GmbH ImmobilienScout24 PREMIUM-Mitglie		Wohnungssuche	01700	4,78			0,00	
102	01406	Abziehbare Vorsteuer 19 %	02.02.20	94	Rieger City München	M-R 7408		01600	3,19			0,00	
